userId,creditCardInfo
1,5123827466407660
2,5202240021285700
3,5183795770445790
4,5396983445083380
5,5346725563335120
6,5376694701778050
7,5314147586412450
8,5244966048853950
9,5537353755930580
10,5482051926291630
11,5478043028322620
12,5159518527902030
13,5167985681574770
14,5296430562285460
15,5169737290694550
16,5595666153683080
17,5434399908688660
18,5308297339905340
19,5527924381332970
20,5162107538093590
21,5101241875900000
22,5108765097821230
23,5534953224496590
24,5514138140677260
25,5272097535264490
26,5393689199792290
27,5106281238362650
28,5262888942397390
29,5223450964950380
30,5162009817392810
31,5480139539144160
32,5459616080473080
33,5326176881099160
34,5223826741103740
35,5595079428934110
36,5118140023168330
37,5228828309524920
38,5138597847506480
39,5334759059508800
40,5456144571824550
